Name,Birth Date,Phone Number,Own House,Country,Zip Code,Year,Time,Longitude,Latitude
Oscar Vargas,2014-03-01,(0114) 496 0624,YES,Israel,36206,1976,20:01:10,140.592920,-7.126389
Katherine Bennett,1993-12-31,+44131 496 0234,YES,Suriname,38435,1980,03:12:40,-75.143905,-6.079315
Clifford Henderson,2018-09-25,01514960827,YES,Kazakhstan,70344,1992,10:11:09,-97.564477,-89.975505
Sharon May,1998-02-15,+44(0)117 496 0154,NO,Guinea-Bissau,24875,1988,17:40:27,133.095330,13.6120445
Laurie Stephenson,1983-02-10,(0151) 496 0315,NO,Bahamas,07434,1987,17:03:39,-101.237543,-21.7579305
Alejandro Robertson MD,1989-06-02,+44(0)115 4960131,NO,Uganda,86632,2005,15:53:28,21.206975,22.4985355
Cody Smith,1981-12-15,+44141 496 0281,NO,Tunisia,11452,1995,16:33:25,-134.922409,-46.913833
Kaylee Mccarthy,2015-08-16,+441164960351,NO,Croatia,47147,1994,11:13:34,-83.896461,48.646757
Dr. Meghan Mack,1981-07-04,0121 4960504,NO,Saint Lucia,55694,2014,17:36:39,169.531276,10.2994995
Elizabeth Garcia,1993-03-04,(029)2018500,YES,Saint Martin,72422,1986,08:29:49,-179.470421,14.4855565
Raven James,1979-10-21,+441184960829,YES,Madagascar,44652,1995,19:36:58,50.871018,6.564952
Albert Lee,1984-06-06,+44(0)131 496 0571,NO,Vietnam,93193,1990,08:04:14,-155.523056,-35.459183
Ryan Campbell,2001-02-13,+44306 999 0548,YES,Puerto Rico,29809,1980,16:39:41,-112.612741,72.4398625
Dana Walters,2017-01-29,(0117) 4960520,YES,Gambia,04396,2019,04:10:47,-21.002294,-70.676324
Corey Macdonald,1972-08-24,+44117 496 0540,YES,Bahrain,28445,2012,08:52:09,69.439455,57.423320
James Powers,2011-10-25,(0115) 496 0008,YES,Netherlands Antilles,15769,2009,08:14:15,153.140001,66.7669545
James Riley,2003-09-28,01144960396,YES,Afghanistan,34124,1989,20:07:28,179.776432,-76.8388605
Wanda Guzman,1977-01-17,+44(0)28 9018963,YES,Svalbard & Jan Mayen Islands,52842,1972,09:08:49,-144.948948,28.6415685
John Houston,1984-01-21,+44117 4960068,NO,Madagascar,49778,1991,16:12:07,-87.259724,39.542825
Andrew Williams,2009-09-26,0117 496 0705,NO,Iceland,20604,1971,09:00:38,145.595752,-1.9957225
Daniel Wu,1994-11-05,03069990705,YES,Angola,78777,2000,10:00:11,-176.346451,-81.5165765
Sarah West,1986-06-22,(0191) 4960244,YES,Guam,81896,2004,23:32:13,-38.258265,82.6738795
Michele Richards,2007-01-23,0141 4960245,NO,Belarus,83475,2018,20:24:51,-126.016978,52.0490125
Roberta French,2015-04-24,+441914960286,YES,United States Minor Outlying Islands,13608,2001,07:42:54,33.842289,10.8992565
Stacy Jimenez,1977-08-12,029 2018310,NO,Swaziland,45126,1976,03:59:54,-138.337807,87.256401
William Khan,1970-09-28,+44(0)1174960933,YES,British Virgin Islands,31358,1998,16:53:59,127.147817,-77.7747145
Jasmine Castaneda,1984-07-06,01632 960 653,NO,Bolivia,44807,1990,00:26:15,-86.752370,-15.051634
Alexis Conrad,2013-01-28,(0114) 4960190,YES,Korea,24005,2021,15:39:55,13.546269,-77.8457055
David Kennedy,1996-09-05,(0191) 496 0570,YES,El Salvador,24085,2000,14:43:33,-14.281919,-11.2385285
Mitchell Nolan,1971-10-14,+44(0)115 4960443,NO,French Guiana,33065,2004,13:19:19,138.621374,-67.9862345
Christian Barker,2014-05-27,+44(0)116 496 0145,NO,Comoros,97819,2014,19:28:24,143.429187,-19.3766505
Emma Gamble,2009-12-02,+441144960422,NO,Brunei Darussalam,82164,2015,16:57:08,-108.192856,68.2055805
Margaret Mcdonald,1978-08-27,0121 496 0942,YES,Russian Federation,06269,2000,02:12:39,156.384735,-44.459648
Matthew Jackson,2016-01-14,0289018701,YES,Fiji,41137,1981,10:25:54,-110.674059,-88.147587
Patricia Edwards,1988-09-16,+44(0)118 496 0199,NO,Reunion,28914,1997,19:59:13,-173.715256,-48.192023
Ashley Hill,1990-12-13,+44117 4960563,YES,Finland,45280,1988,15:40:42,-81.192420,63.330409
James Allen DDS,1972-07-28,020 7946 0535,NO,Cote d'Ivoire,67647,1973,00:01:33,4.284093,-35.9510615
Michael Hamilton,1984-04-19,01174960999,YES,Guam,54132,2007,16:02:28,-4.326454,49.007346
Michael Wilson,2019-11-30,+44(0)117 496 0548,YES,Holy See (Vatican City State),10384,2020,03:14:11,-140.967879,-12.8093735
Wendy Gardner,1972-10-11,(0115)4960590,NO,Seychelles,15735,1971,09:23:08,168.192632,83.0596215
Todd Thomas,1995-11-05,(0191) 496 0554,YES,Iran,78750,1972,05:27:45,-157.805696,17.822731
Paul Miller,2017-04-20,(0808) 1570351,YES,Seychelles,90989,1976,12:55:28,83.694212,-41.5017705
Ashley Banks,1984-03-27,01184960086,YES,Ghana,49577,2004,01:02:59,159.236454,-58.2569255
Robert Juarez,1970-12-03,(0115) 496 0091,NO,Armenia,67162,2000,19:12:21,78.394985,-77.689028
Peter Gaines,1997-04-27,0118 4960451,YES,Palau,27508,1970,01:00:54,-73.558071,-40.1948635
Jennifer Flores,2019-12-21,0306 9990784,YES,Lebanon,62435,2016,18:57:49,-127.565048,-18.5763055
Amanda Baker,1970-01-31,+44131 496 0092,NO,Tanzania,20242,2009,18:02:45,63.337222,-85.9007635
Dr. Chelsea Johnson,1991-06-06,(0191) 4960479,NO,Montserrat,22067,1994,03:00:10,20.677113,-40.7656275
Justin Howard,1970-11-24,+44(0)118 496 0595,YES,Czech Republic,44373,2012,15:53:56,75.701136,-10.8054995
Philip Brown,1981-05-16,(029)2018850,YES,Barbados,62622,1997,09:52:05,-75.504721,-3.1111265
Barbara Armstrong,1995-05-24,+44(0)131 4960205,NO,Gibraltar,30405,1974,00:03:15,-146.093120,-36.5227625
Robert Salazar,1993-10-23,+44(0)1164960455,YES,India,81430,1987,04:17:16,99.565774,9.9159785
Anna Edwards,1978-06-07,+441134960707,NO,Panama,25218,1975,13:08:05,-93.023993,60.1479345
Sarah Smith,2004-01-21,(01632)960948,NO,Panama,94168,1983,09:14:08,-19.716092,61.687832
Amanda Rivas,2018-02-16,(028) 9018463,YES,Belgium,98065,1990,20:01:34,19.490003,67.5638855
Alexander Williams,2005-11-07,+44(0)131 4960552,NO,Italy,56230,1982,21:49:59,-86.234417,-85.9574565
Tina Mack,1977-11-17,08081570148,YES,Tonga,86438,1999,01:50:18,98.484299,53.678405
Lauren Williams,2011-11-14,+441144960727,NO,Martinique,68498,1985,08:56:04,-34.142855,51.2440475
Albert Roman,1972-05-01,+44(0)909 8790524,NO,Guadeloupe,79504,1975,11:21:55,-151.116375,-6.461978
Jacob Cunningham,1970-04-10,029 2018 0244,YES,Timor-Leste,63438,1999,19:08:36,23.023416,-17.9816125
Linda Spence,2019-07-02,+44(0)161 496 0355,YES,Madagascar,33582,2004,23:54:58,91.303574,-81.926506
William Wong,1988-09-12,01154960639,NO,Sudan,92451,1984,23:09:32,-104.696878,-21.369368
Thomas Ward,1992-05-25,(0306)9990870,YES,Zimbabwe,82089,2019,14:40:25,-124.109024,38.7512535
Janet Newton,1971-02-13,+44(0)1164960406,YES,Liechtenstein,53675,1979,12:06:07,83.410543,-10.252352
Tracy Taylor,1983-10-01,029 2018 0041,NO,Bouvet Island (Bouvetoya),61553,1993,07:12:10,176.107483,61.7370055
Desiree Hoover,2018-03-12,+4420 7496 0284,NO,Denmark,24667,2006,01:52:13,1.708547,19.1225375
Bryan Pearson,2016-06-14,+44289018908,NO,Congo,44631,1974,23:24:05,-98.814973,77.8232485
Anthony Schultz,1980-05-01,09098790859,YES,Greece,15364,1985,12:25:11,-136.836720,-41.046653
Angela Thompson,1987-09-13,+442074960845,NO,Tokelau,85893,1996,18:35:18,-86.464548,46.1057055
Victoria Johnson,2001-07-29,(0151) 496 0662,YES,Botswana,41239,1972,10:23:36,-128.246522,73.241383
Anne Hoffman,2005-12-21,(0113)4960157,YES,Antarctica (the territory South of 60 deg S),28990,1979,03:56:00,43.876563,-36.5683635
David Freeman,1984-12-11,0909 8790292,NO,Ghana,47150,2009,04:37:03,-31.859018,-20.401805
Carly Smith,2019-07-14,+44(0)29 2018 0552,NO,Pakistan,61202,2008,05:28:33,171.277931,24.5032455
Michael Flores,2006-10-12,+441154960656,YES,Swaziland,73369,2005,08:15:09,-10.773383,-34.094928
Tiffany Jordan,1970-07-19,+44131 496 0302,NO,Bouvet Island (Bouvetoya),77383,1993,05:18:44,48.265609,-45.024380
Yvette Harris,1977-03-02,0131 496 0090,YES,Guinea-Bissau,10607,1973,16:19:54,-61.218720,69.1496175
Erin Jordan,1993-05-08,(0808) 1570954,NO,Estonia,59145,2010,16:42:34,-178.927562,-53.6539655
Sandra Wilson,2015-11-18,+441414960120,YES,Tonga,19284,1988,08:28:33,1.012233,-40.270284
Jennifer Cole,1997-05-22,+442074960025,YES,Barbados,67482,1991,05:58:03,34.967913,8.295773
Steven Alvarado,2017-06-09,+44(0)151 4960836,NO,South Africa,84801,1974,04:19:51,-158.320683,3.5804305
Alyssa Gutierrez,1996-08-10,+44(0)161 496 0716,YES,Spain,46623,2014,01:54:14,57.483111,65.1451085
Rebecca White,2015-02-11,0116 496 0198,YES,Malawi,27491,1978,05:25:49,-156.529466,38.732196
Christopher Wallace,1975-06-04,+44909 879 0714,YES,Denmark,54345,1972,22:41:37,-15.494301,17.817265
Michael Rodriguez,1991-05-22,+441514960727,NO,Nepal,65294,1984,13:19:24,104.978524,19.794627
Keith Gross,1982-05-08,+44(0)909 8790198,NO,Barbados,74986,1982,16:03:55,49.622965,-42.948138
Elizabeth Jackson,2006-11-11,+44(0)1914960487,NO,Belarus,95147,1974,12:16:11,70.694941,69.505179
Miss Samantha Williams,1999-05-19,+44(0)1414960075,YES,Mayotte,56541,1991,12:24:11,53.022184,-77.834026
Molly Wilkins,2014-08-19,+44114 4960110,NO,Nauru,20542,1973,08:31:43,-129.058704,69.448938
Ms. Sarah Lowe,1990-03-05,(020)74960905,YES,Dominican Republic,65744,1973,01:13:03,15.189246,-75.1206455
Eric Baker,2002-05-04,+44289018537,YES,Micronesia,67357,2000,16:44:41,-114.600840,83.3825015
Ronald Morris,2014-09-06,+44(0)131 4960763,YES,Denmark,51441,1998,14:46:31,58.616607,30.7034625
Kayla Black,2019-10-02,+441184960699,NO,Bulgaria,66959,1988,23:32:51,-152.486897,32.2833365
Jamie Conrad,1972-03-25,+44(0)808 157 0069,NO,Saint Pierre and Miquelon,79822,2001,20:31:07,50.369164,-23.3987465
James Collier,1992-01-17,+44(0)1314960374,YES,Russian Federation,80965,1973,21:12:26,-1.860032,62.875262
Joshua Bennett,2011-11-18,01174960590,NO,Morocco,07881,1986,21:23:07,179.382657,57.7144645
Eric Smith,1988-03-09,03069990244,YES,Uzbekistan,37847,2013,16:55:46,150.119575,-37.1542675
Ana Hancock,1977-09-29,+44(0)1914960924,YES,Zambia,76574,1979,05:03:32,-172.530463,-15.7746605
Russell Mitchell,2002-01-22,+44306 999 0136,YES,Bhutan,60449,1993,15:16:24,-168.887815,-7.1132955
Christian Gilbert,1999-08-23,+44(0)29 2018 0639,YES,Reunion,92365,1995,04:09:46,106.598475,39.370476
Phillip Sims,1981-01-24,+441154960981,YES,Guinea-Bissau,06392,2021,01:13:05,-39.726343,1.340015
Sydney Fox,1973-11-27,0191 4960369,YES,Dominican Republic,39046,1970,01:34:33,-98.238524,-89.949559
Heather Carrillo,2004-08-04,028 9018248,NO,Monaco,80791,2002,07:37:30,-138.284974,-82.885972
Sheila White,2016-09-01,01914960924,NO,Niue,59944,2012,07:19:49,-69.810615,-80.106654
Howard Hill,1973-08-08,+44(0)28 9018416,YES,Sudan,23696,1997,00:42:44,104.942540,-56.939539
Raymond Evans,1980-05-05,+44121 4960982,NO,Peru,66895,1970,19:05:57,113.173046,-13.300296
Danny Jackson Jr.,2011-10-23,+44(0)28 9018708,YES,Micronesia,05905,1972,08:01:58,-65.858225,-41.9190515
William Williams,1993-02-06,0117 496 0924,NO,Marshall Islands,13911,2009,19:35:37,-90.745268,45.9643425
Kimberly Jones,2000-08-31,+44(0)141 496 0273,YES,Guatemala,15899,1971,06:40:57,-19.862409,-4.5351305
Donald Davidson,1976-08-11,01134960084,NO,Mali,58867,2003,08:19:06,-63.595217,11.613190
Kelly Cardenas,1981-06-07,(0808) 1570762,YES,Finland,37674,1970,02:34:53,-161.598407,-19.610137
Michele Herrera,2013-11-24,+448081570425,NO,Algeria,62720,2003,21:24:03,116.453889,44.1225085
Marcus Williams,2003-03-02,+44(0)1134960712,YES,Svalbard & Jan Mayen Islands,65914,1983,06:53:17,-43.688991,71.1335485
Denise Johnson,2013-01-21,+44(0)29 2018 0938,YES,Netherlands,01871,2000,21:22:38,47.968090,29.975840
Monica Gonzales,2011-05-06,+44(0)151 4960717,YES,South Africa,10246,2016,12:16:43,-40.554020,51.0652385
Antonio Miranda,2004-07-02,(0306) 9990695,YES,Senegal,41804,1997,09:05:24,25.723887,-74.4363135
Andrea Haynes,1972-08-15,+4428 9018 0359,YES,Kyrgyz Republic,79009,2021,21:36:12,-131.923013,-9.9527735
Roger Kim,1990-08-16,0117 496 0141,YES,Botswana,32045,1998,03:47:52,-63.499167,-44.944821
Erica Carr,1997-05-04,0161 4960486,YES,Iran,99770,2004,21:39:46,-141.148512,-81.4273535
Julie Dennis,2012-06-06,+44(0)1214960547,YES,Sudan,35512,2003,20:09:23,-141.871535,71.9725525
Patricia Perkins,2001-12-15,0116 4960789,YES,Guernsey,07109,1989,06:07:47,-133.605629,-47.9515415
Christopher Sanchez,2012-07-14,+441632 960577,YES,Haiti,88514,2001,05:22:19,21.925613,21.5998555
Barbara West,2003-04-24,+44(0)289018680,NO,Paraguay,09560,1999,00:38:20,-135.656501,58.7337605
Alison Cruz,1983-06-21,+44118 496 0878,NO,Mongolia,40567,1996,19:12:10,17.117330,51.0296065
Melanie Ross,2003-06-05,(029) 2018 0127,YES,Sudan,06732,1997,21:01:00,-51.399452,23.2187705
Cory Jackson,1982-07-28,+441632960081,NO,Thailand,98396,1994,10:33:47,-13.571794,46.3047865
Brandy Trujillo,2012-04-10,0161 496 0679,NO,French Guiana,29289,2002,03:50:56,74.484707,2.263657
Amy Yoder,2001-12-21,0141 496 0426,YES,Panama,40391,1991,12:44:37,63.872185,-46.511639
Rachel Wall,2008-05-28,028 9018 0575,YES,Iraq,77366,1998,11:06:54,-141.480923,-8.4241565
Lisa Harrison,1984-07-19,(0909) 8790061,YES,Mauritania,96942,2003,02:51:26,92.213711,4.6985875
Brenda Owens,1982-02-16,0118 496 0965,YES,Niue,63218,1973,14:54:45,-43.797960,14.223075
Mary Patrick,2000-03-21,(0113) 4960258,NO,Moldova,73696,2019,20:51:46,-76.895913,35.5331635
Ronald Bautista,2010-03-01,+44(0)191 4960920,NO,Switzerland,97837,1979,23:01:05,66.868018,-54.4640455
David Reed,2016-06-10,+44(0)1914960609,NO,Saint Lucia,05344,1976,18:57:10,33.016773,84.305245
Kyle Hughes,2001-12-23,(0808) 157 0333,YES,Marshall Islands,25167,1991,20:52:53,49.067862,-41.949094
Jason Turner,1983-10-18,+44161 496 0248,YES,Benin,06482,2001,19:31:07,-60.958588,-78.425152
Evan Delgado,1991-01-30,+4428 9018 0335,NO,Panama,76351,1974,11:45:10,-29.410152,-35.8856475
Jack Rodriguez,1998-10-27,+44808 157 0496,NO,Kyrgyz Republic,84706,1990,09:38:26,-119.042295,88.8511045
Julia Mercer,1972-11-07,(028) 9018 0686,NO,American Samoa,56757,2007,17:09:59,-113.063492,32.933191
Elizabeth Jones,2001-11-21,+44306 999 0518,YES,Slovakia (Slovak Republic),51084,2003,23:25:49,-135.161903,-31.5603145
Dr. Penny Barry,1983-06-03,0117 4960746,NO,Malaysia,77132,1983,16:02:05,-68.347524,6.3476495
Jennifer Vazquez,1980-07-04,01314960253,NO,Cambodia,58430,1995,06:54:40,-96.521224,45.379843
Timothy Bailey,2003-04-15,(0115)4960123,YES,Monaco,86199,1990,00:41:18,-36.351873,24.155378
Austin Diaz,1973-12-02,0114 496 0322,NO,Gibraltar,36588,2011,12:09:20,48.711041,87.064344
Stacy Medina,1989-03-10,+44(0)131 496 0061,YES,Martinique,04717,2005,22:33:01,-33.194829,43.9824645
Lauren Weaver,1989-11-08,+44(0)113 496 0175,NO,Saint Kitts and Nevis,72333,1999,16:25:43,-85.621068,2.6320325
Karen Mccoy,1998-03-10,+44(0)29 2018 0815,NO,Syrian Arab Republic,46077,1981,17:05:03,-99.567420,-17.526446
Melissa King,1981-11-28,(0115) 4960129,NO,Svalbard & Jan Mayen Islands,24803,1985,15:12:33,-178.036636,84.9369675
Zachary Farrell,1976-12-24,+44114 4960491,NO,Puerto Rico,85209,1994,05:03:54,-66.771889,-89.5280235
Bobby Turner,1999-12-05,+44118 4960008,NO,Uganda,36602,1992,06:54:31,21.287828,-28.6090495
Traci Ortega,2004-12-16,(0131) 4960531,NO,Guinea-Bissau,02819,2014,05:41:18,19.680612,-32.600399
Matthew Thompson,1985-08-27,+44191 4960938,YES,Guam,14334,2010,07:38:35,-103.340651,-40.6056125
Angela Burns,1979-11-09,+44(0)1314960359,NO,Guam,03277,1986,18:16:40,87.686975,71.581521
Elizabeth Shaw,2015-03-05,+44161 4960498,NO,Bangladesh,79124,2011,08:56:50,-93.705861,-62.4779785
Terry Harris,2000-10-26,+44306 9990516,YES,Dominica,11641,2004,00:05:22,119.297335,10.649249
Alex Rogers,1987-02-11,0161 496 0316,NO,Pitcairn Islands,26531,1990,23:26:27,171.221447,-53.4937245
Matthew Mcdaniel,1997-02-10,+44306 9990706,YES,El Salvador,47205,1971,20:15:55,98.284209,66.9091055
Joel Miller,2003-06-04,+44(0)306 999 0701,NO,Ireland,74962,2020,18:04:35,57.049513,-62.3923425
Michelle Bowman,1972-09-05,(0117) 4960305,NO,Taiwan,31411,1992,21:40:03,-96.457631,-75.413234
Andrea Morgan,1972-08-26,(0118)4960035,YES,Romania,84021,2019,10:07:55,-19.161393,80.9136335
Brianna Ross,2017-11-25,+441514960918,YES,Northern Mariana Islands,74249,1998,06:14:35,28.472760,-7.377319
Michael Smith,1979-02-28,+44(0)115 496 0215,NO,Belgium,58034,2008,23:36:08,142.885071,57.0735285
John Fuentes,1988-08-25,+44(0)141 496 0261,NO,Iceland,29434,1978,17:00:20,-164.701514,82.2379285
Ashley Hardy,1976-07-23,(0161)4960152,NO,Andorra,43184,1972,12:28:09,32.388258,-68.0861205
David Taylor,1979-05-06,(0151) 4960837,YES,Gabon,74039,1976,02:10:56,128.817740,-49.415056
Victor Porter,1997-06-08,+44(0)116 496 0360,NO,Vietnam,75339,1990,09:01:06,43.880778,-81.4002445
James Tucker,2001-10-08,0306 9990694,NO,Georgia,68854,2002,02:13:11,-63.039753,-41.321415
Mr. Shane Osborne,2015-05-02,+44(0)292018744,YES,Bermuda,59668,2013,17:39:45,-7.348785,-67.594092
Natasha Smith,1986-02-24,(0161) 4960950,NO,Madagascar,39649,1973,23:19:53,113.793725,30.948919
Richard Young,1993-06-26,(028) 9018 0206,NO,United States of America,05233,2000,10:22:57,-2.582411,77.205839
Megan Perry,2011-10-23,+44(0)909 879 0650,YES,Venezuela,35417,2016,06:08:32,-111.882999,-6.1266685
David Koch,2015-05-30,(0116) 4960963,NO,Mongolia,57607,2013,06:49:00,-27.102774,-72.2557225
Jackson Morgan,2014-05-04,+4420 7496 0758,YES,British Indian Ocean Territory (Chagos Archipelago),42014,2011,14:23:36,0.024158,67.3858915
Mark Kane,2012-01-28,0141 4960189,NO,New Caledonia,46982,1978,14:14:52,-16.602428,-58.562813
Christina Ball,1975-01-13,0115 496 0725,NO,Hungary,07884,1999,00:24:20,90.986732,16.944048
Joanna Underwood,2013-01-26,(0115)4960695,NO,Tokelau,86400,2018,20:15:29,23.913762,-33.640280
Christopher Hamilton,2003-10-23,(0808) 157 0887,YES,India,61460,2002,09:49:14,22.630223,-25.9470105
Dennis Hernandez,2011-11-24,0161 4960907,YES,Timor-Leste,83206,2012,15:39:38,-14.181395,5.3628675
Amy Neal,1998-03-10,+44115 496 0807,NO,Belize,64739,1987,10:06:52,86.936707,-17.866821
Brianna Thomas,1995-01-15,0116 496 0873,NO,Norfolk Island,31941,2012,09:12:43,62.238894,39.2254155
David Fletcher,1976-08-22,01514960222,NO,Sri Lanka,61357,1990,06:43:52,-37.468522,-44.684185
Claudia Johns,1987-09-14,+44(0)114 4960022,YES,Belarus,36184,1998,16:21:12,74.935626,50.2394185
Michelle Silva,1970-06-29,+441164960099,YES,Faroe Islands,82411,1987,09:28:59,-55.246521,6.6000915
Christopher Johnson,1993-05-11,(0306)9990318,NO,Lebanon,92808,1982,05:46:56,26.210576,45.201334
Chris Anderson,2008-10-04,(0191) 4960359,YES,Lesotho,61887,2017,16:42:38,20.813556,-51.143006
Patrick Lee,1988-01-01,+44(0)131 496 0772,YES,Guinea-Bissau,53383,1998,02:15:58,-70.629361,-75.0781915
Stacy Haynes,1982-04-18,(0113)4960746,YES,Central African Republic,62858,2007,18:26:45,-60.991156,-28.777236
Kiara Fritz,2015-07-31,+44(0)191 4960188,NO,Togo,61664,1988,11:36:04,18.398641,-36.5690455
Gregory Terrell,1987-02-15,+44116 496 0766,YES,Saint Barthelemy,87122,1981,02:57:16,-0.793591,-80.4080365
Nicole Powers,1991-11-25,+441144960731,YES,Cuba,09262,2000,07:56:09,114.824542,26.2307065
Rachael Moore,1973-05-27,+443069990297,YES,Belarus,99814,2008,03:37:22,11.300061,26.742034
Robert West,1992-08-16,+441514960858,YES,Colombia,69947,1980,15:55:41,44.606147,35.0201595
Shannon Kelly,2007-06-09,(0909) 879 0254,YES,Kuwait,54726,1990,15:03:48,-139.701873,-66.9987965
Laurie Blankenship,1975-02-04,+44(0)1154960101,NO,New Zealand,34580,1995,01:27:58,29.296544,51.3215305
Ricardo Young,2005-04-05,(020)74960836,YES,Argentina,09684,1999,11:17:53,-152.462236,65.3202035
Tina Carter,1998-04-18,(0118)4960997,YES,Cameroon,22753,1971,07:21:53,3.189405,40.254012
Jessica Floyd,2008-10-28,0114 496 0000,NO,Ethiopia,60508,2009,19:00:25,101.716978,48.3786365
Elizabeth Brown,1986-08-22,+4429 2018852,NO,Wallis and Futuna,59872,1991,20:16:14,116.958000,78.8373765
Marie Warren,1983-10-06,+44113 4960926,YES,France,66306,1990,09:13:19,-153.352737,2.809104
Lauren Ford,2000-10-23,0909 879 0146,NO,Trinidad and Tobago,21088,2006,13:31:50,85.955619,36.7966825
Michael Snow,2010-03-06,(0306) 999 0450,YES,Spain,18798,1991,10:01:11,-134.881737,-68.247920
John Harris,1995-02-06,+44(0)1414960070,YES,Wallis and Futuna,02788,2009,08:34:42,89.845426,14.959813
Barry Lozano,2018-01-25,+441154960494,NO,Czech Republic,10154,2012,18:31:19,-25.752785,74.2544185
Jordan Mahoney,1973-09-21,(0114) 496 0833,YES,Tanzania,46478,1998,03:56:24,-77.210242,-25.118916
Brandy Crawford,1980-05-20,+44(0)1632 960086,YES,Puerto Rico,49507,1984,16:27:10,-82.278354,76.391400
Cynthia Franco,2013-12-20,+44(0)1314960375,NO,Finland,33561,1993,07:56:36,-44.611260,-59.0056885
Lisa Garrison,2010-05-23,(0121) 496 0299,YES,Andorra,89837,2015,06:33:56,152.229498,5.590425
Devin Davis,1982-10-26,(0808)1570690,YES,Guinea,97795,1976,07:18:18,-158.539387,10.7179105
Stephen Mcgee,2003-03-24,+441514960766,NO,Spain,28100,1992,14:41:18,-116.524913,-87.0748855
Jordan Thomas,2002-03-29,(0131)4960870,NO,Mauritius,89269,2005,17:25:06,-164.056896,79.7518655
Karen Dixon,1988-09-01,+44121 496 0004,YES,British Virgin Islands,68097,2017,04:14:49,-88.331268,82.0621375
Patrick Nielsen,2013-09-09,+44141 496 0471,NO,Timor-Leste,26344,1976,00:14:38,24.567169,84.018219
William Hammond,1977-06-27,+44114 496 0478,YES,Malawi,89155,1985,08:58:49,52.360792,-65.061239
William Kelly,1997-10-25,(0161) 496 0954,YES,Israel,48012,1995,06:41:42,-57.369003,-22.3826425
Adrian Trevino,2000-03-13,(029)2018750,NO,Kiribati,66693,2010,07:30:21,148.750951,-8.338557
Richard Walters,1978-07-08,+44(0)131 496 0273,YES,Palestinian Territory,48805,1975,21:34:27,174.762396,-36.9626935
David Parsons,2007-10-15,(0161) 4960099,NO,Grenada,33580,1974,02:02:42,68.970474,69.1023215
Kayla Hurley,1984-07-19,(0115)4960847,NO,Andorra,36154,2006,01:16:58,-65.412638,11.233187
Mr. Andrew Hood,2004-04-19,+441214960369,YES,Hong Kong,16041,1972,20:52:03,-30.956733,10.8607025
Dana Brown,2003-03-30,+44(0)28 9018267,YES,France,06304,1990,17:37:50,100.175620,-85.4282815
Michael Gonzales,1979-11-30,(029)2018903,NO,French Polynesia,61787,2010,09:27:07,96.638692,-53.7460455
Jeremiah Johnson,2010-01-16,(0118) 496 0186,NO,Malaysia,06639,1973,05:29:30,2.255023,-78.8951465
